Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
MODIFICARE MEMORIA,5,Ammaliamento,"bardo, mago",azione,9 metri,"V, S","concentrazione, fino a l minuto","L'incantatore tenta di alterare i ricordi di un'altra creatura entro gittata che è in grado di vedere, la quale effettua un tiro salvezza su Saggezza. Se l'incantatore sta combat­ tendo contro la creatura, essa dispone di vantaggio al tiro salvezza. Se il bersaglio fallisce il tiro, diventa affascinato per la durata dell'incantesimo. Mentre è affascinato, il bersaglio è anche incapacitato e inconsapevole di ciò che gli accade intorno, ma può ancora udire l'incantatore. Se subisce danni o è bersagliato da un altro incantesimo, questo incantesimo termina e nessun ricordo viene modificato. Finché questo ammaliamento permane, l'incantatore può alterare il ricordo che il bersaglio ha di un evento avvenuto entro le 24 ore precedenti e della durata mas­ sima di 10 minuti. Può eliminare permanentemente tutti i ricordi dell'evento, consentire al bersaglio di ricordarlo con estrema chiarezza, alterare il ricordo di alcuni detta­ gli o creare il ricordo di un evento diverso. Per descrivere in che modo i ricordi vengono alterati, l'incantatore deve parlare con il bersaglio, che deve quindi comprendere il linguaggio usato affinché i ricordi modificati si radichino nella sua mente. La sua mente poi riempie le eventuali lacune presenti nella descrizione dell'incantatore. Se l'incantesimo termina prima che l'incantatore abbia finito di descrivere i ricordi modificati, la memoria della creatura non subisce alcuna alterazione. In caso contrario, i ricordi modificati si radicano nella sua mente e l'incantesimo termina. Un ricordo modificato non influenza necessariamente il comportamento di una creatura, in particolare se con­ traddice le sue inclinazioni naturali, il suo allineamento o le sue convinzioni. Un ricordo modificato illogicamente, come per esempio il falso ricordo di quanto la creatura ami nuotare nell'acido, viene ignorato e considerato come un brutto sogno. Il DM potrebbe ritenere che un ricordo modificato sia troppo insensato per influenzare la creatura. Un incantesimo rimuovi maledizione o ristorare superiore lanciato su un bersaglio ripristina i veri ricordi della creatura. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può alterare i ricordi del bersaglio relativi a un evento risalente fino a 7 giorni prima (slot incante­ simo di 6° livello), 30 giorni prima (slot incantesimo di 7° livello), 365 giorni prima (slot incantesimo di 8° livello) o a un qualsiasi momento del suo passato (slot incantesimo di 9° livello). MORTE APPARENTE"
MORTE APPARENTE,3,Necromanzia,"bardo, chierico, druido, mago",azione o rituale,contatto,"V, S, M (un pizzico di terriccio prelevato da un cimitero)",l ora,"L'incantatore tocca una creatura consenziente, ponendola in uno stato catatonico indistinguibile dalla morte. Per la durata dell'incantesimo, il bersaglio appare morto alle ispezioni esterne e agli incantesimi usati per deter­ minare il suo stato. Il bersaglio è accecato e incapacitato e la sua velocità è pari a O. Il bersaglio è anche resistente a tutti i danni tranne i danni psichici ed è immune alla condizione ""avvelenato"". MOVIMENTI DEL RAGNO"
MOVIMENTI DEL RAGNO,2,Trasmutazione,"mago, stregone, warlock",azione,contatto,"V, S, M (una goccia di bitume e un ragno)","concentrazione, fino a l ora","Fino al termine dell'incantesimo, una creatura consen­ ziente toccata dall'incantatore ottiene la capacità di muo­ versi verticalmente e orizzontalmente su pareti e soffitti, mantenendo le mani libere. Il bersaglio ottiene anche una velocità di scalata pari alla sua velocità. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 2°. MUOVERE IL TERRENO"
MUOVERE IL TERRENO,6,Trasmutazione,"druido, mago, stregone",azione,36 metri,"V, S, M (una pala in miniatura)","concentrazione, fino a 2 ore","L'incantatore sceglie un'area di terreno entro gittata con un lato lungo al massimo 12 metri. Per la durata dell'incantesimo, può rimodellare come desidera l'argilla, il terriccio o la sabbia presente nell'area. L'incantatore può aumentare o ridurre l'elevazione dell'area, creare o riempire una fossa, erigere o spianare una parete, oppure innalzare una colonna. Tuttavia, l'estensione di tali cambiamenti non può superare la metà della dimensione più grande dell'area. Ad esempio, se l'area dell'incantesimo è un quadrato con lato di 12 metri, l'incantatore può creare una colonna alta fino a 6 metri, aumentare o ridurre l'elevazione del terreno di 6 metri, scavare una fossa della profondità massima di 6 metri e così via. Le modifiche verranno completate in 10 minuti. Dal momento che la trasformazione del terreno avviene lentamente, le creature nell'area non restano intrappolate o ferite a causa dei movimenti del suolo. Al termine di ogni 10 minuti trascorsi a concentrarsi sull'incantesimo, l'incantatore può scegliere una nuova area di terreno entro gittata da influenzare. Questo incantesimo non può manipolare la pietra naturale e le costruzioni realizzate in pietra: le rocce e le strutture si spostano per adattarsi al nuovo terreno. Se il modo in cui l'incantatore modella il terreno rende una struttura instabile, essa potrebbe crollare. Allo stesso modo, questo incantesimo non influenza in modo diretto la crescita vegetale: la terra in movimento trasporta con sé i vegetali presenti. MURO DI FORZA"
MURO DI FORZA,5,Invocazione,mago,azione,36 metri,"V, S, M (un frammento di vetro)","concentrazione, fino a 1 0  minuti","Un muro di forza invisibile si materializza in un punto a scelta dell'incantatore situato entro gittata. Esso appare nell'orientamento che l'incantatore desidera, come barriera orizzontale, verticale o inclinata. Può fluttuare nell'aria o poggiare su una superficie solida. L'incantatore può modellare la barriera in una cupola semisferica o in una sfera del raggio massimo di 3 metri, oppure come una superficie piatta composta da dieci pannelli quadrati con lato di 3 metri. Ogni pannello dev'essere contiguo a un altro pannello. In qualsiasi forma, il muro ha uno spessore di 0,6 centimetri e permane per la durata dell'incantesimo. Se, nel momento in cui appare, il muro passa attraverso lo spazio di una creatura, questa viene spinta verso un lato del muro a scelta dell'incantatore. Nulla può fisicamente attraversare il muro, che è immune a tutti i danni e non può essere dissolto con dissolvi magie. Tuttavia, un incantesimo disintegrazione lo distrugge all'istante. Il muro si estende anche sul Piano Etereo e blocca i viaggi eterei che lo attraversano. MuRo DI Fuoco"
MuRo DI Fuoco,4,Invocazione,"druido, mago, stregone",azione,36 metri,"V, S, M (un pezzo di carbone)","concentrazione, fino a 1 minuto","L'incantatore crea un muro di fuoco su una superficie solida entro gittata. Il muro può essere lungo fino a 18 metri, alto 6 metri e spesso 30 cm, oppure essere un muro circolare del diametro massimo di 6 metri, alto 6 metri e spesso 30 cm. Il muro è opaco e permane per la durata dell'incantesimo. Quando compare, ogni creatura al suo interno effettua un tiro salvezza su Destrezza, subendo Sd8 danni da fuoco in caso di fallimento, o la metà dei danni in caso di successo. Un lato del muro, scelto dall'incantatore al momento del lancio dell'incantesimo, infligge Sd8 danni da fuoco a ogni creatura che termina il proprio turno entro 3 metri da quel lato o all'interno del muro. Una creatura subisce gli stessi danni quando lo attraversa per la prima volta in un turno o vi termina il suo turno. L'altro lato del muro non infligge danni. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld8 per ogni slot di livello superiore al 4°. MURO DI GHIACCIO"
MURO DI GHIACCIO,6,Invocazione,mago,azione,36 metri,"V, S, M (un pezzo di quarzo)","concentrazione, fino a 1 0  minuti","L'incantatore crea un muro di ghiaccio su una super- ficie solida entro gittata, modellandolo in una cupola semisferica o in una sfera del raggio massimo di 3 metri, oppure in una superficie piatta composta da dieci pannelli quadrati con lato di 3 metri. Ogni pannello dev'essere contiguo a un altro pannello. In qualsiasi forma, il muro ha uno spessore di 30 centimetri e permane per la durata dell'incantesimo. Se il muro invade lo spazio di una creatura alla sua apparizione, quest'ultima viene spinta verso un lato del muro (a scelta dell'incantatore) ed effettua un tiro sal­ vezza su Destrezza, subendo 10d6 danni da freddo in caso di fallimento, o la metà dei danni in caso di successo. Il muro è un oggetto che può essere danneggiato e quindi sfondato, con CA 12 e 30 punti ferita per ogni sezione di 3 metri. Inoltre, è immune ai danni da freddo, da veleno e psichici e vulnerabile ai danni da fuoco. Una sezione di 3 metri viene distrutta se scende a O punti ferita e, nello spazio che occupava in precedenza, permane una cortina d'aria gelida. Una creatura che attraversa tale cortina d'aria gelida per la per la prima volta in un turno effettua un tiro salvezza su Costituzione, subendo Sd6 danni da freddo in caso di fallimento, o la metà dei danni in caso di successo. Utilizzo di uno slot incantesimo di livello superiore. I danni inflitti dal muro quando compare aumentano di 2d6 e quelli subiti da chi passa attraverso la cortina d'aria gelida aumentano di ld6 per ogni slot incantesimo di livello superiore al 6°. MURO DI PIETRA"
MURO DI PIETRA,5,Invocazione,"druido, mago, stregone",azione,36 metri,"V, S, M (un cubo di granito)","concentrazione, fino a 1 0  minuti","Un muro non magico di solida pietra si materializza in un punto a scelta dell'incantatore situato entro gittata. Il muro è spesso 15 cm ed è composto da pannelli con lato di 3 metri, Ogni pannello dev'essere contiguo a un altro pannello. In alternativa, l'incantatore può creare pannelli di 3 metri per 6 metri spessi solo 8 centimetri. Se, nel momento in cui appare, il muro passa attraverso lo spazio di una creatura, questa viene spinta verso un lato del muro a scelta dell'incantatore. Se una creatura rischia di trovarsi circondata su tutti i lati dal muro (o dal muro e un'altra superficie solida) può effettuare un tiro salvezza su Destrezza. In caso di successo, può usare la sua reazione per muoversi fino alla sua velocità massima nel tentativo di non rimanere intrappolata dal muro. Il muro può avere la forma desiderata dall'incantatore, ma non può occupare lo stesso spazio di una creatura o un oggetto. Non è necessario che sia verticale o poggi su fondamenta solide, deve tuttavia fondersi ed essere saldamente appoggiato a un blocco di pietra già esistente. È quindi possibile usare questo incantesimo per creare una rampa o realizzare un ponte che attraversi un baratro. Se l'incantatore crea una campata di lunghezza supe­ riore a 6 metri, deve dimezzare le dimensioni di ogni pan­ nel1o per creare dei sostegni. Può modellare rozzamente il muro per creare parapetti e altri elementi simili. Il muro è un oggetto in pietra che può essere danneg­ giato e quindi sfondato. Ogni pannello ha CA 15 e 30 punti ferita per ogni 2,5 centimetri di spessore ed è immune ai danni da veleno e psichici. Quando un pannello scende a O punti ferita, viene distrutto e potrebbe causare il crollo dei pannelli collegati, a discrezione del DM. Se l'incantatore mantiene la concentrazione su questo incantesimo per l'intera durata, il muro diventa perma­ nente e non può essere rimosso. In caso contrario, il muro scompare al termine dell'incantesimo. MURO DI SPINE"
MURO DI SPINE,6,Evocazione,druido,azione,36 metri,"V, S, M (una manciata di spine)","concentrazione, fino a 1 0  minuti","L'incantatore crea un muro di rovi irto di spine affilate. Il muro appare entro gittata su una superficie solida e per­ mane per tutta la durata dell'incantesimo. L'incantatore può scegliere se creare un muro lungo fino a 18 metri, alto 3 metri e spesso 1,5 metri, oppure un muro circolare del diametro massimo di 6 metri, alto fino a 6 metri e spesso 1,5 metri. Il muro blocca la visuale. Quando compare, ogni creatura al suo interno effettua un tiro salvezza su Destrezza, subendo 7d8 danni perfo­ ranti in caso di fallimento, o la metà dei danni in caso di successo. Una creatura può muoversi attraverso il muro, seppur con fatica e dolore: per ogni 30 centimetri di muro che attraversa, deve usare 1,2 metri di movimento. Inoltre, la prima volta che una creatura entra in uno spazio nel muro in un turno o vi termina il proprio turno, effettua un tiro salvezza su Destrezza subendo 7d8 danni taglienti in caso di fallimento, o la metà dei danni in caso di suc­ cesso. Una creatura effettua questo tiro salvezza solo una volta per turno. Utilizzo di uno slot incantesimo di livello superiore. Entrambi i tipi di danno aumentano di ld8 per ogni slot incantesimo di livello superiore al 6°. MURO DI VENTO"
MURO DI VENTO,3,Invocazione,"druido, ranger",azione,36 metri,"V, S, M (un ventaglio e una piuma)","concentrazione, fino a 1 minuto","Un muro di vento forte si solleva dal terreno in un punto a scelta dell'incantatore situato entro gittata. Il muro può essere lungo fino a 15 metri, alto 4,5 metri e spesso 30 cm. L'incantatore può modellarlo nel modo che preferisce, purché formi un percorso continuo lungo il terreno. Il muro permane per tutta la durata dell'incantesimo. Quando appare, ogni creatura nell'area effettua un tiro salvezza su Forza, subendo 4d8 danni contundenti in caso di fallimento o la metà dei danni in caso di successo. Il vento forte tiene lontani fumo, nebbia e altri gas. Le creature o gli oggetti volanti di taglia Piccola o infe­ riore non possono passare attraverso il muro e i materiali leggeri, non fissati in qualche modo, volano verso l'alto una volta portati al suo interno. Frecce, quadrelli e altri proiettili ordinari lanciati contro bersagli dietro il muro vengono deviati verso l'alto e mancano automaticamente il bersaglio (i macigni scagliati dai giganti o dalle macchine d'assedio e altri proiettili simili non sono influenzati dal muro). Inoltre, le creature in forma gassosa non possono attraversarlo. MURO PRISMATICO"
MURO PRISMATICO,9,Abiurazione,"bardo, mago",azione,18 metri,"V, S",1 0  minuti,"Un piano scintillante di luce multicolore forma un muro opaco verticale (che può misurare fino a 27 metri di lunghezza, 9 metri di altezza e 2,5 centimetri di spes­ sore), centrato su un punto entro gittata. In alternativa, l'incantatore modella il muro in un globo del diametro massimo di 9 metri centrato su un punto entro gittata. Il muro permane per tutta la durata dell'incantesimo. Se l'incantatore posiziona il muro in uno spazio occupato da una creatura, l'incantesimo termina immediatamente, senza alcun effetto. Il muro emana luce intensa entro 30 metri e luce fioca per ulteriori 30 metri. L'incantatore e le creature da lui scelte al momento del lancio dell'incantesimo possono pas­ sare attraverso il muro o rimanervi accanto senza subire danni. Se un'altra creatura in grado di vedere il muro giunge entro 6 metri da esso o comincia lì il proprio turno, deve superare un tiro salvezza su Costituzione, altrimenti è accecata per 1 minuto. Il muro è composto da sette strati, ognuno di un colore diverso. Quando una creatura si protende oltre il muro o ci passa attraverso, lo fa attraversando uno strato alla volta. Ogni strato costringe la creatura a effettuare un tiro salvezza su Destrezza, altrimenti viene influenzata dalle proprietà di quello strato, come descritto nella tabella degli strati prismatici. Il muro, che ha una CA pari a 10, può essere distrutto uno strato alla volta e in ordine dal rosso al vjola, in un modo specifico per ogni strato. Se uno strato viene distrutto, resta distrutto per la durata dell'incantesimo. L'incantesimo campo anti-magia non ha alcun effetto sul muro e l'incantesimo dissolvi magie può influenzare solo lo strato viola. STRATI PRISMATICI Ordine Effetti Rosso. Tiro salvezza fallito: 1 2d6 danni da fuoco. Tiro salvezza superato: la metà dei danni. Effetti aggiuntivi: Gli attacchi a distanza non magici non possono attraversare questo strato, che viene distrutto se subisce almeno 25 danni da freddo. Arancione. Tiro salvezza fallito: 1 2d6 danni da acido. Tiro salvezza superato: la metà dei danni. Effetti aggiuntivi: Gli attacchi a distanza magici non possono attraversare questo strato, che viene distrutto da un vento forte (come quello creato da folata di vento). Giallo. Tiro salvezza fallito: 1 2d6 danni da ful­ mine. Tiro salvezza superato: la metà dei danni. Effetti aggiuntivi: Questo strato viene distrutto se subisce almeno 60 danni da forza. Verde. Tiro salvezza fallito: 1 2d6 danni da veleno. Tiro salvezza superato: la metà dei danni. Effetti aggiuntivi: U n  incantesimo passapareti o un altro incantesimo di livello pari o su periore che è in grado di aprire un portale su una super­ ficie solida, distrugge questo strato. Blu. Tiro salvezza fallito: 1 2d6 danni da freddo. Tiro salvezza superato: la metà dei danni. Effetti aggiuntivi: Questo strato viene distrutto se subisce almeno 25 danni da fuoco. Indaco. Tiro salvezza fallito: Il bersaglio è tratte­ nuto ed effettua un tiro salvezza su Costituzione alla fine di ogni suo turno. Se lo supera per tre volte, pone fine alla condizione. Se fallisce per tre volte, resta pietrificato fi nché non viene liberato da un effetto come quello dell'incantesimo risto­ rare superiore. Non è necessario che i tiri superati o falliti siano consecutivi: si tiene semplicemente il conto di entrambi finché il bersaglio non ne accumula tre di un certo tipo. Effetti aggiuntivi: Non è possibile lanciare incantesimi attraverso questo strato, che viene distrutto dalla luce intensa emanata dall'incantesimo luce diurna. Viola. Tiro salvezza fallito: Il bersaglio è acce­ cato ed effettua un tiro salvezza su Saggezza all'inizio del turno successivo dell'incantatore. Se lo supera, non è più accecato. Se lo fallisce, non è più accecato e viene teletrasportato su un altro piano di esistenza (a scelta del DM). Effetti aggiuntivi: questo strato viene distrutto da dissolvi magie. NUBE DI NEBBIA"
